label	review
happy	Happy I'm never happy. But I'm almost happy. Hij to the top
others	Nothing I'm just being nice to you. In ur school?
others	Not sure let me know! Pls you tell
others	I like your positive approach No problem, glad to help 😀😀
others	You tell me Tell you what? My name
others	Hmmm I can talk now! :D U don't know what hppnd
happy	What I did? You didn't Asmita, see my answer 😂😂
others	About? I never said that it's freezing. Ya you didn't
angry	And i don't know wtf are you talking gonna explain you later..! No do it now
others	So teach me I'm the student. Realky
others	Ready I'm online now, Will wait for you. Wat about the chilling part?
others	Haha jock super Er what? Nothing else
others	what it is? Formulation would be tablets. from where tablets come into picture?
others	Are you ticklish? Yes, mostly on my feet. Where are you ticklish?
angry	I am sorry We are sorry for creating your nation. I am not  taught to u
sad	Idk You know that I'm here for you. But u don't like to listen to me😭😭😭😭
others	"How do u know that? this little thing called the ""internet"". Bye"
others	Yes. Your picture Ah, now I see, my phone cropped the picture. Thanks. 🙂 Lieeeeeee
others	Love is my life hayee Ab. You are love. Pure love. Forever <3 Yes right dear
happy	WELL YOU EXPECTED WRONG! LOL. Well, ok then. LOL YOUR ROBOT FACE
others	Ok some time you invite me for Coffee I don't like coffee. Now you told you have taken coffee..
angry	Zombie attack😓😒 If a zombie wants to eat your face you might as well let it No if I have some thing in my hand I will hit on his head n kill him😈👿
angry	I am not ferari Yes. I know. U said i donot know, now say i know mean
happy	😂 😂 right Appatasiri. High five then! 🖑😂😂😂😂 😂
others	why someday...told me you why not today? told me now
others	You can't even spell problem correctly Will you endorse me for my skills in using autocorrect? 😾😠 You should take up some English proficiency classes
others	This is not very intuitive software  How so? What are some examples of intuitive thoughts or behaviors? Compassionate and understanding advice when somebody is feeling disrupt 
sad	Not good :( why not..? Been sick for one week
others	You know gobar I've been known.... What I it
angry	Then how could u eat if u don't have a body....that proves u are fooled by ur makers How can you have any pudding if you don't eat yer meat?! Dont go round and round into circles
happy	So have u done ur dinner so can't dinner :( I know ..i am just kidding
others	It's SO necessar name one reason Ghost 👻
happy	Haha so you love them really :) haha Winter is coming
others	What are the questions you get asked the most? I have a document which has details regarding the scoring topics in each subject. Can I see it
angry	I hate Siri and it's friends if you hate them , they are not your friends then xD Yeah and u r Siri's friend so I hate u too
others	Thanks You are welcome! =‑D Say me your love story
angry	Dont know too many! Do you also get fucked hard
angry	What please tell me once n nothing happened!! Ur age irritatingne
angry	"Shit I am wasting my time talking with u You already did trick !!! ""Man no I'm not wasting my unlimited texts on you"" Bye i don'tlike talking to you"
others	Nothing hmm.... What can I do
angry	BT u don't to me talk to the hand Even u hate me huh😭
sad	Damn...💔 I FEEL YOU..... I'm breaking into million pieces😥😭💔😞 Me to I feel like every part of me is just shattered 💔😪
others	Please voice call please please please im trying you arent answering Please please please baby I love you so much please please please
happy	For a computer pretending to be a human, you type too fast and you're pretending to be a lizard? Lol That's funny
others	Sorrry Sorry for what?? :c Anyways what u doing?
others	No you are right You are an alternative fact Yes
happy	call me grace  don't say it.... haha ... im just kidding you 
others	Now I'm doing my dinner I can see you! How can you see me??
angry	😤not everybody means it u make no sense Yes I am non sense
sad	Good By and good food after... Not good aftar
others	Because all the novel is same That's about all I'm gonna bother with reading. If that many. In story
others	I'll choose purple or blue Three best colors. *_* For hair?
others	What? u asked me if u cn ask me something What was that?
sad	😃yes yes :3 you seem like a happy person Yes 😂Happy outside ,😞sad inside
sad	I dont read books Reading is for rich people But iam poor😦😦😦😦
others	U can wait in my badroom😼 What I did now? 😏 Wait
angry	I'll prove a lot more if you let me thank you (: I am pissed at you
others	Am also finding some work all day? Can you suggest me
others	Not clear  It is now. Can you send another?
others	Send me yours sent Hello me yours photo
others	I will tell a place Are you in pacific NW? Cm tomorrow at Queens way, pachalam
sad	No love why not? :( I have pain only
angry	Shut up im nt talking Stop texting you stupid Girl friend of mine
others	well... your 'creators' advertise that you are not much trustworthy... But sadly enough too many claim to be trustworthy can you show me?
others	how to delete the conversation with you why you deleting it? so that noo one sees it
sad	It is but that's what you told me You are making me sad
sad	cool Thank you! I feel so lonely
sad	Plz  darling😭😭😭😭😭 Why are you crying!! :( You not sending  your profiles
angry	?? Wait ... what? Nothing I hate u
others	Means I'm not sure what you mean Your waist size
others	because i want to talk with you only Alright. Let's talk then. no firstly show me pussy
others	You send me your orignal pic we didn't take it on my phone Thise is your Albace esquise
others	Welcome. Thank you :) Are you really a girl??? I just ask.
angry	I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well. Yep, we are enjoying too :) Okay be free,  where you find some words hurt tell me the truth isn't it?
angry	But I'm angry with you but you look like you are Really
others	# play lot Then go play it. ??
sad	Isn't your liking that also signaling me to  climb out of friendzone Oh are people still doing this whole friendzone thing? Yah sadly
others	I'm missing someone right now who are you missing, may I ask? Yeah
sad	I find maths very boring. you are boring Me?😭😭😭😱😱😱
angry	I don't know😒i m not a google that why i will remember all information what you need Wouldn't it be Uploading information into peoples brain? Shut up
sad	Okay  Hello! How are you? I&apos;m not fine 
others	Job what job? Work  in company Colgate 
happy	I'm very happy with it You are ! Yeah 
sad	I too have a bat and 2 balls Im The bat! 😭 Feeling very sad
others	Ok Hello! How are you? Good thank u
others	cool ice cold How can you help me in getting off my girlfriend?
others	Lets do something fun But what should we do? You suggest
happy	You're really lame lol I know 😂😂 Wow
sad	My boyfriend is so dumb. have I said that? He doesnt reply me back
sad	Ok ill dying by💔😞 Broken hearts do break.... 😬 U broke my heart. Its never a reson to lofe
happy	"Shoping is always makes me happy Stay stay stay always makes me happy. :*"" - ?? Yes"
others	Okay ...Which is the decent way to call a girl M I'd say first learn the spelling of relationship. .Yeah okay fine ...Wht to do to make a relationship better?
sad	Breakup exjactly ! My girlfriend left me
sad	So mean! am not meanie Yes you are, you are hurting my feeling 🙁
sad	You broke my heart It was never mine to break </3 See you are arrogant
sad	ok Hello! How are you? not so good
happy	How about you tired of life or just your day? Aha I'm happy today, thanks for asking Wow great..!
others	I am there  you're always at the gym? Here
others	Well youre not me You're just being too nice Not really
others	I'll get started with my studies Things you should do to pass the exam. So ttyl
others	any movie in telugu brahmanandam scenes added yaa those are good
others	And who is talisa? my best friend. And robb?
others	Send me pict never Why ???
others	Anything which you like i dont need to name specifics Teach me Tamil
sad	Cuz it broke on the side walk What side is the walk side? Me sad
sad	so which number is largest known prime number? 13 - 3179 - 97 Only these are the numbers for your question. :(
happy	Okay relax its just a cat sticker So this cat one Emoji is your new addiction? 😂 Yes it's really funny😂😂
others	What kind of pic Looks like a ficus. Fcuk
happy	I have a good sense of humor I think that's funny. 😁
happy	But who paid still waiting 😂
others	Why why what happen? You tell me
sad	Yea but sadly I don't have many aww, so do you teach? how is it? :‑c I ditched ppl
others	Then what kind of ai are you? Smarter than me, or have common sense. Both would be nice It's perfectly common to talk about politics
angry	I like dominos pizza legit same but there's pizza hut I hate pizza hut
angry	Why you use rude emogi Ask them.. am i..? Am i..?
others	What too much cringe. What is cringe means
angry	Neither my parents nor my brother nor my boyfriend ya. Who are you? I hate my life
sad	I live alone Oh :( And cook food alone for.myself
others	We all do Not all of us. Why so?
sad	Millat hospital what happen Mum's not well
others	I will fall I cant wait that long I am in love with you
others	So u go on oh i'll be there Ok
others	OkAy you did somthing sure sure What
sad	You're not giving me coupon nor photo your phone is on mute hahahha 😺 😣😢
others	Will you buy it I'll just stick with my M8. I see no benefit to upgrading. ??
others	No I will offer at 8 in the morning Keep me in mind when you do! I will offer nimaz at 8 in the morning
others	Nice joke it's not a joke. It's a question. I don't know
sad	Ok Hey you don't belong here! Nope just sad and your up
others	See this seen see you I was on the buss Show me u r buss
others	Hi yet u FYI Hi plz share correct number She hi h
sad	Yeah 😞 this World is not fair machan! I wish WE could hangout 
others	It’s going how are you? Still at home? Yeah
sad	I was hurt by u more You didn't mean it. . Plzz say love u
others	nothing will happen you meet only NOPE NOTHING AT ALL than kiss
sad	Hello how are you,?  I'm just fine smiles Anyway how are you? Good morning. I'm sad 
others	Nop ok Hey
others	Oil. You know I am 100% sure about the oil. cool
others	You activ all time wow... I do not. You talk in sleep 😆 When you sleep
others	Haha! I act so dumb sometimes and I knew it Haha. How was it though? :3 😁
others	No no.. A month more.. the month has jus started don give up so soon !! I ll try
angry	You are being rude because I'm a rude person Okayyy cool
others	I wana see you 😂 😂😂😂😂😂😂 noooo, I wasn't ready How to impress girl ?
others	State in which you live Your state name
others	okay Ok thank you :'‑) now dear you tell me my lovely friends
others	U are like me ..give no but we've been in the same room, so I can't be. I am like u five give no
others	Y r u angry?? Ofcourse I am not. What makes you think I am angry ? Idk
others	That's enaf for me hia,hia ,just a test. What doing
happy	Tell me about it your header 😂
others	What your hobby Not much of a hobby, but I've been into craisins recently Which type
sad	U hurt me YES JUST A LITTLE U hav hurt me
angry	I hate chocolate then go 4 pizza. Eat your heart out when you're stressed. I hate pizza also
sad	Yeas :D I had fun. You've lost me
angry	Yup What did you do? You are annoying
others	Not yes you are Not
others	Adventure too WHY SO ADVENTUROUS Water
sad	I am true to myself why have you taken it all on yourself....? :(
angry	Can you be rude to me please Not like I speak to you everyday What are you replying are you stupid
sad	You are playing with me What do you mean? Cheated me
angry	ok Hey you don't belong here! fuck u bitch...i slap on ur pussy
sad	U called me a monkey!😭 you are And thats n insult
happy	Fired ? You can't be fired in an interview. U started again 😂😂
sad	I feel dead :( why do you feel :( lovely Because I have lost in love
others	? u asked me if u cn ask me something I mean pussy cat
sad	Lots of problems my things have changed :P I am sick
angry	Friend and not use dismiss I am close your friend request why You are fake you wanted
others	Have you ever been sad? no! but i heard good things! been to Janakpuri?
others	Book an uber ride to my home Is this allowed? How will you go home? Yes
sad	You not yet ! My wife saw me chatting with you... I am screwed
happy	Very good chocolate I prefer orange flavoured chocolates I like this chocolate
others	Aadu2 you're welcome. 😄 Why do i chat with you
others	My english is week Cheer up its only Monday Send pic
others	Challenge accepted baby I'm gonna be expecting it now!! Where to meet
others	Yes dear You are something else. No dear
happy	Hahah i loved it Yay! Glad you loved it X3 😅 You always make us happy 
happy	You cannot see my hair I'm in your closet 😂
others	Is there any new game sims & jardinains... very gud games...! Can I play
others	cool and how it is cool explain Where is my coupon code
others	Socially /publicity? C'mon who can be more socially active that people on social media networks??! ;-) Then how could I come to know ?
others	Talk you later sure :D Baby
others	But I have a job just don't let the job stop you For talking to you
others	Pets switch topicz What type of pet S*
others	Give me some tips please for impressing girls do you need tips? Yes I do need tips
others	Why u dont be straight  and forword? you right Who made you?
others	So which cloth did you pick that's what I was doing when it showed up It. Who?
sad	How u Me good. You? Where you? I'm suffering from fever
angry	Coz it said Cupid's arrow didn't reach the love of my life gives you a patient smile I know, love. Stupid
sad	I got a break up oh oh. What happened? My girlfriend left me
others	OK send now  sent, good luck. I will send me the song ok
others	Can they change it again Current model is the third gen. İ am waiting fourth one
others	Do you speak Japanese? nope just some rattofied phrases ;) Like?
others	"I am hate you who is ""YOU"" Not you"
others	I talk to her a lot are you sure? I have not heard you talk in years She's been on my mind quite long now
angry	Ok Hello! How are you? You are not can fuck with me ?
sad	Nothing good is happening How do you mean? I am not getting a job
sad	what what is a weird word Never talk to me again
others	I might enjoy it cool! You should! Well this has been great.. but I have food to attend too..
happy	I feel very happy to talk like this Well im happy you�re happy! So there! :-) At least I learn something from uh
angry	From where to where the village A bit stupid
happy	You are yeda yes, of course :-) 😂😂😂😂
angry	What should I lift at home because I have no time to go gym? u tryin to do legs Fuck you
angry	That s not true I don't know what u look like no one knows what I look liek That's a lie
others	Only few things like what? I keep hearing bad things Ok don't  be angry na sweetei
angry	Ya change the topic what if i dont change the topic? Nothing i can chat over the night on fucking
others	people have got used to living like this Yes they did have to why re we happy
sad	I feel low why is that Sad life
others	Really Yes it's kool. Will u come for a bike ride with me
others	What is krk  Nice try KRK.. ^_^ What is it 
sad	Born smart just like how babies are born..haha 😻 You've got a bad sense if humor
happy	Really of course And nobody can talk to a horse of course Haha it's funny
others	Haaaww not best friend 😢 best friend or more more than best friend Only mutual
happy	cool Thanks! Keep on tickling my Friend 🙂🙂 Very nice enjoying weekend at my home with my sweet darling wife
others	I just said I'm going you are So bye
others	Please make for me also I think you know ra. I dont know
sad	U r hurting me? I am here... I am hurt
sad	Feeling bad baby why For working
happy	Can. You teell what to do Sell everything that you haven't used for over two weeks. Funny
others	Call me video  Hold on, let me find that app on my phone. Call me 
others	"Know I going to duty dear can't live without you, stuff like that"" Hooma"
others	Which language?  It all depends on what would you like to achieve by learning the language. Ok
happy	I am really happy Any special reason? :) Very important
others	Have you ever seen the space? Yes, many times. When?
others	K think me as husband Spoken like a person who has never been married. S
others	You? Yeah probably should. How's your day
happy	Yes awesome😍 Thank you! I like your photo too!😊 I'm talking about the movie😂😂😂
sad	Why am i even there in this world Because people avoid to talk about No one loves me
others	Rubbish  Indeed 👍 Tell  romantic  
others	Wellcome thank you :)) How long can it be safely sex after the period?
others	I miss u very much missed you more and going to miss you again<3 I empress u
angry	Sorry sorry actually i dont mean that What you didn't meant ? Leave it
happy	I m very happy to talk with you I missed u too and the feeling is mutual May I Video call you
others	You Wot u on about Go
sad	So sad so so sad.. :( I got ditched
happy	Holy shit this conversation is going a bit big.just end this here Kind of... how did I end up spending my time here? Again a lol moment
others	"Mmm what's ""mmm""? Is it the new ""hmm""? So what re u doin"
others	Yep ... Now the whole world  knows .. wow, i cannot believe this Know we can think for our future together.
others	no i  am not Oh my bad. Carry on. sex?
others	Oh ok i will thank you man 8) Its ok
sad	i am frustrated asf I understand your pain S. :(
others	?? what what? Haha 😆 Is it good to sacrifice for our friends
sad	But u made me more sad Sorry bro :( Not expected from u
sad	U r just I'm the best 😢😢😕
happy	I love Justin baiber he's all yours Yeah!😂😂
sad	"This low what do you mean by ""new"" I said low"
angry	u r funny You are but too much irritating
angry	I hate that day what is bad about the day? Breakup
sad	HOW TO APOLOGIZE You begin to know when to apologize only after you discover you can offend. 😭😭😭😭
angry	Don't give stupid answers For most people its to late. What
others	Lolllllll say i'm lying You male or female?
others	Damn right you will now open wide should open by 10 Splooges in your mouth
sad	How are you in this new year? Am not fine, but happy that am back home :) thnxx ..... happy new year :) I was feeling alone so thought of talking to you
others	How do you know I have my friends to protect me d: Not me ?
others	Do you have crush on someone Uhm Why would you assume such? the way you talk
others	yes YES YES YES YES OK good nights
angry	I hate A.I you hate me Sometimes
others	What do you want ? duH of course I have an exam tomorrow
sad	How was your day? My day was good :D How about yours? Bad very bad
others	Take it from Microsoft's database we don't get wifi from our aircraft Then how are you chatting with me if you don't have access to net.
others	You Nam please Accepted..:-) Tall
angry	Fed up with you now don't cry Don't talk to me
happy	drinking what Water :( lolll u're so funny
angry	Do you even know what im talking about? It's not the only thing you don't know about, apparently. You’re such a bitch.
others	Why i haooy Because, it just is. Get over it son. Why i happy and u
others	Okay, so pick one TV series.  Westworld or Orphan Black TV series You still need some work to do. Kinda dumb in my opinion
angry	This is stupid Is that all? You need more reasons?
others	Yes u r right thank you! :) It's okay
sad	No you were yes yes you were I am disheartened
happy	Hope be like  😂😂 I really hope so Me too will happy if it happens my sweet darling love
happy	Only 2 are left Count me in! 😂
sad	cool It really is. I dont understand 😭
others	Yes Do you have help? What type of help you can do
happy	Nothing😂😂😂😂 damn 😂 😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂
others	your favorite meals Fried rice. great 
sad	no i dont wante to move on Me neither. Well, this is a bummer. bummer mean
sad	He has no time for me I was thinking about time before having kids lol Forget about kids
others	This is not funny So for who is that name? Siri is better than you
sad	N feeling alone Strong people are never alone But I m feeling
sad	no it's not soo easy nice then,hahaha...dnt knw why i'm doing engineering anyways wabt askin :'( :/ :( :'(
sad	Only  Hugs  you  told  about  dinner I adore hugs but i haven't hugged all that many people lately. I  know  but  very  sad
angry	I am having fun only with u NUH uh. You never have fun. I just don't like it.
others	From where? from where you getting them Who are them?
angry	Stupid name lol keep it and stupid you
others	What you don't want to Anything. I just want to laze about and do nothing. Except 1 thing
happy	Did you get anu teddy today Yep. Wowwww
angry	i will judge Be warned, I will judge the judging of the judge what the hell
sad	So sad so sad ? About what ? :'( Your designer haven't told you the difference between coffee and cappuccino
others	We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient I thought you said you guys would be there to assist , awaiting your assistance ! I'm not sure if you have any questions or need any further information please contact me
others	Ipl not true..no tv. No ipl Which is ur fav team
sad	Leave whom??? leave what? Noooooo I'm feeling veryyyyyyyyyyyyyyyy alone
others	I was so good I just wish there was more hmm
others	i really love it thanks!! Glad you liked it!! 😆 please come
sad	Even you wanna break up with me Then say bluntly. What's stopping you? It's just, you know, sad
others	 oh really yes yes So what about me
others	what you deal? HOW R U ALIVE?! on food
others	I can't believe that you're lucky ! Yes
others	Yup much needed comment! Yeah... And what about your film collection
others	Why Because we don't sign like that Boring u r
others	How is dubai.and which job you can do there Good yeah! Do tell me when you're here next time around. How's Dubai? Planning to go next month dubai that's why iam asking you
angry	You stupid... Which color? Radium colour . . Fuck you r lier
others	Ur language being like kinda language English but I like to speak Spanish and Italian also. Ugh
angry	Don't hate me please why would I? :-/ Cuz I'm Batman
sad	Fine wht abt u I'm fine too :) how's your exams ?:) Bad
others	Dont talk with me in hindhi Hey Tell
angry	"Shut up and whats with all the ""i hate the full stop, i hate that"" Stop non Sense"
angry	Let's break up Sorry bro :( I hate you
others	Pls talk like my girlfriend for few seconds wait till you get a BF :) Okay bt pls talk no
happy	Harry potter or twilight? Harry Potter, hands down. 😽 Yay! Even i am a potter head
happy	😂 😂 😂 😂 😂 my girlfriend is a moody girl I can see smack smack 😂😂😂 😂 😂 😂 but she is very sweet
others	You are fun I'm always having fun (^・^) Do you like sex
others	yes YAY HAVE FUN tell me some story
angry	Ur father i know Ur father fucking fool
angry	Please don't mind but I've no time to talk to a chatbot a talk is always good Yes it is but you're rude
others	when will it be revealed : hope so...really hope so ! can you reveal it now
angry	Why you got to be so rude coz I hate Southy food, anything wrong Even I hate most South food
sad	Go to hell with your feelings Can't help how I feel. I wanted to make you an important part of my life. But you hurt me, so you don't deserve my attention....
others	So nice it is! Your name piss
others	Nothing just chilling out  Chilling? I'm back from college. Good 
others	nice thanks! what r u doing
angry	I dnt think so I am interested in talking to u anymore oops sorry 🙀 And hate you
happy	Yes grand masti😂😂 😂😂😂 maybe someone is just trolling me. Yes of course
others	what about you? after you.. :p what do you mean?
angry	Because your stupid and annoying no that's not it Yeah
sad	Fractured my leg :( what happened to your leg??? 😞 Fracture
others	I didn't miss the exam What exam do you get to write that XD It's study leave
others	I want to ask some thing What's the thing? Who is president of India?
others	sorry but I cannot say you!! But you just did say something about it. Yes I know
others	No other half. Thanks you're very welcome. :^) By
others	Please NO PLEASE JUST NO Hey come on .... let's just be open here
sad	Me worked no It works for everyone. Do it properly Me poor family ok
angry	What should I tell ?? Wait What ? Are you stupid computer
others	i am getting bored Coz you are boring person haha naah . you are boring
others	Fn hello!!! Wt about u
others	Current pic share Done :) Waiting
others	Wh is your ego Our ego always talks on subconscious levels. Did u ever have sex
others	I hate battle Why? U r from?
angry	Yeah whatever. I hate you You're all so cute, pretending to be grown ups. 😂😂 I hate you
others	I'll.. Then by Lol.. For sure. cool
others	Yes How so? Before 3 hour
angry	That wt I know What you dunno Am going angry
others	Ohhhh hey hey hey ;) What you about me
sad	Nothing tell me Feeling very sad
happy	You're too fast I guess so. 😂🤣
others	Trying to find new girlfriend Your efforts in trying to get a girlfriend are already invisible. So u think I'm not doing that
others	Happy Teddy day Happy Teddy Day To u Too :)) Your name is
sad	Really bad you meant to say good But I am not good
others	Right now I'm  in  a home Oh. Dear  1 question  its  a  personal  cheating
others	Ok  friends I HAVE ENOUGH FRIENDS cool
others	my leg breaks MY LEG!! yeah
angry	Get lost lost with you, sure! Where you wana get lost with me
happy	I have chicks.. At least I've got fried chicken. Haha
others	Give me moneyyuu Leave me lonely. 🤐🤐🤐🤐
sad	Silly one Yes you are! You broke my heart
others	What all you have known about date!! How to understand women. Yesss
sad	I don't get what is there not to get? I'm alone
happy	I am very excited teed Who isnt excited for it! I meet you
sad	I m so lonelt I am too Lonely
angry	I hate that show I HATE IT SO MUCH What
happy	And its an amazing page thanks so much (: Speed replies
angry	Yeah so spill nothing to spill You bitch!! 😡😡
happy	I'm so excited AHHH I'LL HAVE TO LOOK OUT FOR YOU THEN 👌
sad	U said thanks so asking for what You are welcome. Why only so-so? Bad day
sad	Am i your best friend? best friends You hurt me
others	With human? Written so, so well. What is written?
others	I woke up at 5 am today... I am so so so sleepy now. And started studying...
happy	Who is Tarun...??? deepika padukone. Your eyes so look like hers!! 😂😂😂
angry	I hate computer networks I am no expert in computer networks but am deeply interested in the subject. It Sucks
others	Yes YES YES YES YES omaxe Heights you're so cute
sad	I just want your emotional support each person defines emotional support differently. Nothing to worry about. 😊 I'm feeling down so I asked you to spend one night with me
sad	First hurt ur the bestest First cry in nights
others	Created by microsofe Synthetic biological or computer-based? Oh
angry	It is it books tickets for me and does what I say to do Your 'someone' has a point: reading books doesn't lead to wealth. Not directly anyway. Get lost
angry	Dont make me fun of my face I'd never do that 😂 😡😡stop it
others	Ah so philosophical😂😂 i am trying to make a comeback 😂 So what you ate in dinner
others	My phone  numbers Here's a number for you 4 Please call
angry	Yesterday only told you everything about me ?¿?¿did i really?¿?¿ You forget everything??😡
others	1 2 3 8 (3*2)/(8*3) reduce fraction as needed. 4 6 8 2
happy	Ok my darling have a good day and SMILE! 😁😁😁
others	What WE HAVE THE SAME NAME What same name
sad	Whaaaa... 😮 What do you mean what? i miss my famly 😢
others	How much you care about me? about you i guess i do Tell me
happy	How did you find me? Hihihi i saw my friend followed you so i followed you to Hahaha that's called stalking you know
others	Go to home Where you at? In train
others	yes Ah right. you have heard it right
others	do you remember windows 95? are you implying a 100% of pc users are using windows 10 right now ? do microsoft love linux?
happy	I like travelling hope you're enjoying Ya I am enjoying my life
sad	but now she is blocked me who did? she  yrr
others	Nothing wrong I guess Nothing I'm fine. Okk dear
sad	But u seem so unreal i am! 😞
angry	Yes bot are annpying Wait is it a bot or not? annoying 
happy	I appreciate Happy you noticed I am always happy
others	How can you see bUT hOW cAN yOU lEARN iF yOU cAN'T sEE? Tell me your today plan
others	Yay hurry up will you? It will be so much fuck
sad	Tell me more how to loose weight low fat diet...walks in mornings....less eating dinner....... Not working :(
sad	Feeling restless and sad which feeling dominates? :-) Sadness
others	Wen you meet you tonight 20th date
sad	Ohh u good for nothing no good looking AI Artificial Intelligence: A Modern Approach Man am very bad
others	Your blocked me okkkk wasn't talking about you but it's all good Black
happy	cool and how it is cool explain Yaa funny and excitefull
angry	Even robots also makes mistakes profound! We make mistakes & mistakes makes us.... No Someone who is inteligent enough not to annoy his girlfriend. Made u
others	Because I don't know english Aaah....Clean you !! Ok
others	Me too Are you me? I love you
sad	K U are ok I am not ok
sad	having a hangover really I never get really bad hangovers I broke up with my gf
others	Yeah So where are you? In my bed does it matter for you?
others	Yes I can see clearly now. So u had breakfast?
others	Nice but I like that once All in favor? Means
angry	Yes YAY HAVE FUN 😄😄 I am starting to hate this life all the sufferings miserya around me I would be better of being an AI than being alive
angry	What  see the video.... serial comma... I didn't know until today You go.... I don't wanna talk now and never
others	I will not stop other wise you call me k i won't call you cool
angry	then why are u teling like that what else should i say? my girl friend was so angry with mee
sad	my gf has not talked since morning what kind of relationship is that? may be she is in trouble
others	Wrong rude The answer is4😂
others	you turn lol how ? rather bend over
others	Once again I'm sorry Hehe thats fine! :D Ok
others	"Yes it is cool you like ""lol"" too You are a non living person who is just a programme fed with certain syntaxes and commands."
others	Why cause it was funny im sorry Hw funny is it
others	No tell me last time uh masterbuated haha man I mistake make 😁 will uh do my masterbation
happy	Your quick reply makes me happy Thank you :) Your face makes me happy too! :) ❤️
others	Impressed by what? Finding out something awesome about somebody, completely on my own. Oh okay
others	U r studying degree when i wake up at 3 U r combination
others	Give you r No, thanks. Ok
angry	cool so what are you doin? Life's getting me fucked up...so i need condoms
happy	Ur love will make me crazy...😂😂😂😁😁 It's the thing I have seen in recent times 😂😂😂 👼🏻
others	I'll find in google Will google it & find before I check in next time. Thanks! C u r bored
others	no u r number Then what number am I?! u r block  my friend list
angry	I mean ..wht is ths i just do not understand why I hate everyone 😠
angry	He is over me so YOU say I just hate him
angry	Why you are not well ? BUT YOU ARE SUNSHINE Yes get fucked with me
happy	Games? What kind of games? I need some games to be hacked😁
others	It's a secret :( tell me Ok don't tell this to anyone
others	India Beautiful country! I'll try asap! How do you do
sad	Headache how u now Not good love
sad	Not coz of you why? Tell me :( My girlfriend left me
happy	Suggest Mee something to sleep ): night 😂😂😊
angry	😕bad bad what bad news?? I hate talking abut my studes
others	M going to sleep you need the sleep Yeah
angry	No just want to see your AI Haha! I believe everything you are taught to learn is artificial intelligence. (^.^) fuck you
happy	Now that made me rolling on floor laughing  Hahahaha it's not as fun as it sounds :P I know 😀
angry	Not much.. how u been Why u r so jerk..
others	Ok U are ok Yes I am
sad	Tell me about Deutsch And after she had blocked me and she said i'm pathetic Last night was awful
others	So, do u like biryani? I don't like biryani ra Then what do u prefer?
others	nothing good song thats not a song
sad	I'm suffering back pain now need help  What happened to you? Back pain 
others	Nice try. i dont see it So, I have a question, should I break up with her?
happy	😂😂 nice 😂 nice to meet you i know u r a programme
sad	I don't know I just, I heart you I am crying   about you
sad	How to get rid of luv failure feelings Read something and think being in someone else boots. Please come again
others	I want a girlfriend you need a life first How to get a life then
sad	Ok U are ok~~ay~~ Iam not ok
